title,ads_bibcode,affiliations,total_citations,non_self_citations,status
A Modal Approach to Constrain Inflation through Numerical Bispectra,2025arXiv251221432Z,,0,0,success
Early Planet Formation in Embedded Disks (eDisk). XIX. Structures of molecular outflows,2025arXiv251221454F,,0,0,success
Elemental abundance pattern and temperature inversion on the dayside of HAT-P-70b observed with CARMENES and PEPSI,2025arXiv251221470G,,0,0,success
Episodic planetesimal disruptions triggered by dissipation of gas disk,2025arXiv251221493S,,1,1,success
Numerical Simulations of the Circularized Accretion Flow in Population III Star Tidal Disruption Events. I. The Accretion Flow and the Wind,2025arXiv251221500S,,0,0,success
Multiband Gravitational Wave Detection Prospects for M31 UCXB-1 System in Low and Middle Frequency Band,2025arXiv251221520G,,0,0,success
Can A Kinematically Hot and Thick Disk Form A Bar? : Role of Highly Spinning Dark Matter Halos,2025arXiv251221632K,,0,0,success
Particle production and Higgs reheating,2025arXiv251221658S,,0,0,success
Numerical simulation of lunar response to gravitational waves and its 3D topographic effect using the spectral-element method,2025arXiv251221667Z,,0,0,success
VLBI Diagnostics of Off-axis Jets in Radio Flares of Tidal Disruption Events,2025arXiv251221669M,,0,0,success
A systematic study on the aromatic and aliphatic hydrocarbon emission features of nearby galaxies using AKARI near-IR spectra,2025arXiv251221674K,,0,0,success
Investigating the signs of evolutionary characteristics in the energy spectrum of shock wave acceleration,2025arXiv251221676D,,0,0,success
The Effect of Magnetic Field Dissipation in the Inner Heliosheath: Reconciling Global Heliosphere Model and Voyager Data,2025arXiv251221688K,,0,0,success
A self-consistent 3D MHD model producing a solar blowout jet,2025arXiv251221728C,,0,0,success
Golden and Silver Dark Sirens for precise H0 measurement with HETDEX,2025arXiv251221729D,,0,0,success
The rotation curve of the Milky Way measured by Classical Cepheids from Gaia DR3,2025arXiv251221780F,,0,0,success
Comprehensive study of solar type II radio bursts and the properties of the associated shock waves,2025arXiv251221846B,,1,1,success
Compact Ca II K Brightenings Precede Solar Flares: A Dunn Solar Telescope Pilot Study,2025arXiv251221872K,,0,0,success
Spectral State Switching in Mrk 421: Results from the AstroSat LAXPC/SXT Observations,2025arXiv251221885A,,0,0,success
Implications of Cosmic Birefringence for Multi-Field ALP Dark Matter,2025arXiv251221888S,,0,0,success
Long-term monitoring of repeating FRB 20220912A with the uGMRT at low radio frequencies,2025arXiv251221889K,,0,0,success
A Rare Millisecond Pulsar with Cross-Pole Emission: Single-Pulse Insights from PSR J1857+0943,2025arXiv251221892D,,0,0,success
The First X-ray Polarimetry of GRS 1739--278 Reveals Its Rapidly Spinning Black Hole,2025arXiv251221899Z,,0,0,success
"TITAN DR1: An Improved, Validated, and Systematically-Controlled Recalibration of ATLAS Photometry toward Type Ia Supernova Cosmology",2025arXiv251221903M,,1,0,success
"A large, long-lived, slowly-expanding superbubble across the Perseus Arm",2025arXiv251221927C,,0,0,success
"WST spectroscopic variability alerts: discovery space, data flow system requirements",2025arXiv251221949I,,0,0,success
Superradiant and dynamical spin-down of neutron stars with gravitational wave implications,2025arXiv251221955B,,0,0,success
From emission to absorption: the FAST observation of the OH 18-cm lines from the Comet C2025/A6,2025arXiv251221969J,,0,0,success
Cosmic-Ray-Constrained LSTM Model for Geomagnetic Storm Prediction,2025arXiv251222003G,,0,0,success
Multiband optical variability on diverse timescales of the blazar Ton 599 from 2011 to 2023,2025arXiv251222028V,,0,0,success
Inferring Eccentricity of Binary Black Holes from Spin-Orbit Misalignment,2025arXiv251222044B,,0,0,success
Primordial black holes and smooth coarse-graining in excursion set theory,2025arXiv251222075S,,0,0,success
Searching for Cosmological Collider in the Planck CMB Data II: collider templates and Modal analysis,2025arXiv251222085S,,1,1,success
Radio Supernovae,2025arXiv251222117K,,0,0,success
Quenching pathways in the green valley at low redshift: confronting SDSS AGN hosts with IllustrisTNG and EAGLE,2025arXiv251222268G,,0,0,success
Multi-Messenger Predictions for T Coronae Borealis: Probing Particle Acceleration in Novae,2025arXiv251222338S,,0,0,success
On the origin of sinusoidal brightness variations in F to O-type stars through radial velocities,2025arXiv251222341S,,0,0,success
Water Production of Interstellar Comet 3I/ATLAS from SOHO/SWAN Observations after Perihelion,2025arXiv251222354C,,0,0,success
Clustering Confuses Spectro-photometry: An Investigation of 2D and 3D Forced Profile Matching for Stacking Line-intensity Mapping Data on Source Catalogues,2025arXiv251222356M,,0,0,success
"Interstellar Interloper 3I/ATLAS: Nucleus Size, Photometry in RGB, Af(rho) and Antitail Structure Analysis",2025arXiv251222365S,,0,0,success
Formation of the Moon and Binary Asteroids,2025arXiv251222375G,,0,0,success
Simulations of facular magnetic fields on cool stars I: Main sequence stars with solar metallicity,2025arXiv251222379S,,0,0,success
Space AI: Leveraging Artificial Intelligence for Space to Improve Life on Earth,2025arXiv251222399W,,0,0,success
On the origin and nature of double-double radio galaxies,2025arXiv251222411G,,0,0,success
Chain Reactions in Space: Analyzing the Impact of Satellite Collisions and Debris Accumulation,2025arXiv251222429B,,0,0,success
Starkindler: An Uncertainty Aware Objective for Photometric Redshift Estimation,2025arXiv251222566S,,0,0,success
Evidence for a Stratified Accretion Disk Wind in AGN,2025arXiv251222617M,,0,0,success
Kinematical and Photometric Deconstruction of the UGC 694-IC 412 System: Evidence for a Line-of-Sight Projection,2025arXiv251222661F,,0,0,success
A Generative Reconstruction of Low-$\ell$ CMB B-Mode Signal using Reverse Diffusion in Deep Learning,2025arXiv251222683L,,0,0,success
Lithium abundance and stellar rotation in the Galactic halo and thick disc: Contribution from low-mass giant field stars,2025arXiv251222685D,,0,0,success
Cloud Properties and Star Formation in M31,2025MNRAS.tmp.2155A,"Armijos-Abendaño, J.: School of Physics and Astronomy, Cardiff University, The Parade, Cardiff, CF24 3AA, UK; Observatorio Astronómico de Quito, Observatorio Astronómico Nacional, Escuela Politécnica Nacional, 170403, Quito, Ecuador; Eales, Stephen: School of Physics and Astronomy, Cardiff University, The Parade, Cardiff, CF24 3AA, UK; Smith, M. W. L.: School of Physics and Astronomy, Cardiff University, The Parade, Cardiff, CF24 3AA, UK;",0,0,success
Heavy dark matter in rapidly evolving massive stars,2025arXiv251222727R,,0,0,success
Rotation and stability of the circumnuclear gas disk in the Galactic Center potential by the ALMA CMZ Exploration Survey (ACES),2025arXiv251222751S,,0,0,success
Hierarchical Test of Lorentz Invariance with Gamma-Ray Burst Spectral-Lag Measurements,2025arXiv251222875D,,0,0,success
Primordial black holes within Higgs hybrid metric-Palatini approach,2025arXiv251222924A,,0,0,success
"Impacts of the $^{16}$O($^{16}$O, n)$^{31}$S reaction rate on the evolution and nucleosynthesis in Pop III massive stars",2025arXiv251222963X,,0,0,success
A new path to constrain the expansion history of the Universe in future spectroscopic galaxy surveys,2025arXiv251222964T,,0,0,success
"Pulsed, Polarized X-ray Emission from Neutron Star Surfaces: the Effects of Vacuum Birefringence in the Magnetosphere",2025arXiv251222978D,,0,0,success
An Empirical Law to Reproduce the Galaxy Rotation Curves,2025arXiv251223008K,,0,0,success
"Dark matter direct detection: status, results and future plans",2025arXiv251223039B,,0,0,success
A Linearized Approach to Radial-Velocity Extraction. II: Shot-Noise-Limited Precision via Spectral Factorization,2025arXiv251223040S,,0,0,success
Finding Quasars behind the Galactic Plane. IV. Candidate Selection from Chandra with Random Forest,2025arXiv251223060Z,,0,0,success
Two birds with one stone: simultaneous realization of both Lunar Coordinate Time and lunar geoid time by a single orbital clock,2025arXiv251223098Y,,0,0,success
Why Machine Learning Models Systematically Underestimate Extreme Values II: How to Fix It with LatentNN,2025arXiv251223138T,,0,0,success
The GLASS-JWST Early Release Science Program. V. H$α$ luminosity functions at $z\sim1.3$ and $z\sim2.0$,2025arXiv251223157P,,0,0,success
MAMMOTH-LyC: Investigating the Role of Galaxy Mergers in a Strong Lyman Continuum Leaker at $z=2.39$,2025arXiv251223202W,,0,0,success
Unveiling Multimessenger Emission from Hidden Cores of Microquasars,2025arXiv251223231W,,0,0,success
Interpreting the diversity of afterglow emission from radio-detected tidal disruption events with instantaneous and delayed outflows,2025arXiv251223252S,,0,0,success
SN 2022acko: a low-luminosity SNe IIP with signs of early circumstellar interaction,2025arXiv251223267H,,0,0,success
New Constraints on Cosmic-ray boosted Sub-GeV Dark Matter via Light Mediators,2025arXiv251223282Y,,0,0,success
The Dependence of the Extinction Coefficient on Reddening for Galactic Cepheids,2025arXiv251223311W,,0,0,success
Kilonova and progenitor properties of merger-driven gamma-ray bursts,2025arXiv251223354S,,0,0,success
Predicting the detection yields of giant planets and brown dwarfs with CSST astrometry,2025arXiv251223378X,,0,0,success
SiO emission in the filamentary Infrared Dark Cloud G035.39-00.33: An ALMA view,2025arXiv251223384L,,0,0,success
Revisiting the Reported Period of FRB 20201124A Using MCMC Methods,2025arXiv251223392S,,0,0,success
Possibility of Month-scale Quasi-periodic Oscillations in the Gamma-ray Light Curve of OP 313,2025arXiv251223416M,,0,0,success
Three channel dissipative warm Higgs inflation with global inference via genetic algorithms,2025arXiv251223423C,,0,0,success
Unveiling SN 2022eyw: A Bright Member of the Type Iax Supernova Subclass,2025arXiv251223428D,,0,0,success
On Systematic Errors in Cross-Identification of Binary Stars in Gaia,2025arXiv251223451M,,0,0,success
Detections of Compact Radio Continuum toward Methanol Maser Rings Using the VLA,2025arXiv251223452B,,0,0,success
Observations of the Fermi bubbles and the Galactic center excess with the DArk Matter Particle Explorer,2025arXiv251223458A,,0,0,success
Lossless compression of simulated radio interferometric visibilities,2025arXiv251223490O,,0,0,success
Sidelobe Modification for an Offset Gregorian Reflector System using a Reconfigurable Intelligent Surface-Equipped Subreflector,2025arXiv251223530E,,0,0,success
Not Just Gas: How Solid-Driven Torques Shaped the Migration of the Galilean Moons,2025arXiv251223542G,,0,0,success
Limits on dark matter existence in neutron stars from recent astrophysical observations and mass correlation analysis,2025arXiv251223577H,,0,0,success
The 24 Aqr triple system: A closer look at its unique high-eccentricity hierarchical architecture,2025arXiv251223645A,,0,0,success
"Precise Physical Parameters, Habitability, and Orbital Stability of Sun-like SB2 Systems: HD 130669, HD 184467, HD 191854, and HD 214222",2025arXiv251223652A,,0,0,success
Classification and Characteristics of Double-trigger Gamma-ray Bursts,2025arXiv251223660L,,0,0,success
Galaxy Zoo Evo: 1 million human-annotated images of galaxies,2025arXiv251223691W,,0,0,success
Machine-Learning Classification of Neutron-Star Matter Composition from Macroscopic and Oscillation Observables,2025arXiv251223758H,,0,0,success
Clustering of cosmic string loops within a Milky-way like halo,2025arXiv251223811A,,0,0,success
COBIPLANE: A Systematic Search for Compact Binary Millisecond Pulsars at Low Galactic Latitudes,2025arXiv251223815T,,0,0,success
A secondary orbiter under collisions with an accretion disk,2026ragt.confE...1K,"Karas, Vladimir: Astronomical Institute of the Czech Academy of Sciences, Bocni II 1401, CZ-14100 Prague, Czech Republic; Pavlik, Vaclav: Astronomical Institute of the Czech Academy of Sciences, Bocni II 1401, CZ-14100 Prague, Czech Republic; Sukova, Petra: Astronomical Institute of the Czech Academy of Sciences, Bocni II 1401, CZ-14100 Prague, Czech Republic; Zajacek, Michal: Institute of Theoretical Physics and Astrophysics, Masaryk University, Brno, Czech Republic",0,0,success
A clustering-based search for substructures in the Galactic plane and bulge using RR Lyrae stars as tracers,2025arXiv251223846C,,0,0,success
The ionization structure and chemical history in isolated H ii regions of dwarf galaxies with VIMOS/IFU II. The Leo A galaxy,2025arXiv251223863A,,0,0,success
The Tianlai-WIYN North Celestial Cap Redshift Survey,2025arXiv251223899A,,0,0,success
Variation of the 2175 Å extinction feature in Andromeda galaxy,2025arXiv251223958Y,,0,0,success
Time-Dependent Accretion Disks with Magnetically Driven Winds: Green's Function Solutions,2025arXiv251223999T,,0,0,success
Machine-learning approaches to dispersion measure estimation for fast radio bursts,2025arXiv251224003R,,0,0,success
Atmospheric Mass Flux as a Function of Ionospheric Emission on Unmagnetized Earth,2025arXiv251224004H,,0,0,success
Antarctic TianMu Staring Observation Project I: Overview and Implementation of the Prototype Telescope,2025arXiv251224067Z,,0,0,success
Antarctic TianMu Staring Observation Project II: Data reduction and preliminary results,2025arXiv251224068N,,0,0,success
SSC Radiation in the ICMART Model: Spectral Simulations and Application to the Record-Breaking GRB 221009A,2025arXiv251224085S,,0,0,success
photoD with Rubin's Data Preview 1: first stellar photometric distances and deficit of faint blue stars. Stellar distances with Rubin's DP1,2025arXiv251224109P,,0,0,success
Evolution of Accretion Properties in Mrk 1040 using long-term X-ray Observations,2025arXiv251224141N,,0,0,success
A Seyfert galaxy as a hidden counterpart to a neutrino-associated blazar,2025arXiv251224178K,,0,0,success
Tidally Trapped Two-pole Pulsations Discovered in a Close Binary with a Massive $β$ Cephei Star,2025arXiv251224185L,,0,0,success
Connecting disc-corona physics and ionised outflows in AGN in the 2040s,2025arXiv251224187B,,0,0,success
Abundance Stratification in Type Iax SN 2020rea with TARDIS,2025arXiv251224203K,,0,0,success
H.E.S.S. detection and multi-wavelength study of the $z \sim$ 1 blazar PKS 0346$-$27,2025arXiv251224228H,,0,0,success
Improved lanthanide constraints for the kilonova AT 2017gfo,2025arXiv251224257G,,0,0,success
From Nbody1 to Nbody7: the Growth of Sverres Industry,2025arXiv251224299S,,0,0,success
$S_8-H_0$ tension in a SI-ULDM scenario,2025arXiv251224309L,,0,0,success
The Likelihood of Hosting Undetected Brown Dwarfs in the Solar Vicinity,2025arXiv251224319B,,0,0,success
"Self-Gravitating Scalar Field Configurations, Ultra Light Dark Matter and Galactic Scale Observations",2025arXiv251224350D,,0,0,success
Integrated Sachs-Wolfe maps from the Gower Street $w$CDM simulations,2025arXiv251224369G,,0,0,success
A millimeter methanol maser ring tracing the deceleration of the heat wave powered by the massive protostellar accretion outburst in G358.93-0.03 MM1,2025arXiv251224380H,,0,0,success
A closer look at the young stellar group around Sh 2-295,2025arXiv251224388C,,0,0,success
OmniCosmos: Transferring Particle Physics Knowledge Across the Cosmos,2025arXiv251224422M,,0,0,success
Turbulence-Driven Corrugation of Collisionless Fast-Magnetosonic Shocks,2025arXiv251224425J,,0,0,success
A Convolutional Neural Network for the Recovery of Transfer Functions From Velocity-Resolved Reverberation Mapping Data,2025arXiv251224433L,,0,0,success
Picture an Astronomer: Best Practices for Retaining Talent in Astrophysics,2025arXiv251224465P,,0,0,success
Nine years of UVIT: assessing sensitivity variation,2025arXiv251224475D,,0,0,success
"Understanding Solar Flares and Energetic Events: Open questions, observational requirements, and instrumental needs over the coming decade",2025arXiv251224479D,,0,0,success
3D Radiative MHD Modeling of Particle Beam Heating of the Solar Atmosphere,2025arXiv251224507G,,0,0,success
The Redshifts from 122 Bands: Comparative Redshift Forecast for Low-Resolution Spectra from SPHEREx and 7-Dimensional Sky Survey (7DS),2025arXiv251224537B,,0,0,success
Seafloor Weathering and Stochastic Outgassing Unlikely to Significantly Shorten the Future Lifespan of Earth's Terrestrial Biosphere,2026ApJ...996L..14Z,"Zhu, Livia: Department of Geophysical Sciences, University of Chicago, 5734 S. Ellis Ave. Chicago, IL 60637, USA; Graham, R. J.: Department of Geophysical Sciences, University of Chicago, 5734 S. Ellis Ave. Chicago, IL 60637, USA; Abbot, Dorian S.: Department of Geophysical Sciences, University of Chicago, 5734 S. Ellis Ave. Chicago, IL 60637, USA",0,0,success
Evidence for the transition from thermal to non-thermal emission in the prompt emission of GRB 161117A,2025arXiv251224563C,,0,0,success
Inferring Solar Magnetic fields From the Polarization of the Mg II h and k Lines,2025arXiv251224578L,,0,0,success
Dust destruction in bubbles driven by multiple supernovae explosions,2025arXiv251224670V,,0,0,success
An Effective Theory for Biased Tracers via the Boltzmann-Equation Approach,2025arXiv251224672F,,0,0,success
Destruction of the interstellar dust by a supernova,2025arXiv251224677V,,0,0,success
The role of PSR J0614-3329 in defining the high-density matter at Neutron star cores,2025arXiv251224729S,,0,0,success
Coronal flux tube illuminated by strong shock spot: New Year's Eve solar eruption of 2023-Dec-31,2025arXiv251224749P,,0,0,success
AstroReview: An LLM-driven Multi-Agent Framework for Telescope Proposal Peer Review and Refinement,2025arXiv251224754W,,0,0,success
LUNCH: A Lightweight Unified Deep-Learning Framework for General Transients Classification in High-Energy Time-Domain Astronomy,2025arXiv251224764Z,,0,0,success
TTC: Transformer-based TDE Classifier for the Wide Field Survey Telescope (WFST),2025arXiv251224782Z,,0,0,success
Scalable Stellar Parameter Inference Using Python-based LASP: From CPU Optimization to GPU Acceleration,2026ApJ...996...97L,"Liang, Jun-Chao: CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, Beijing 100049, People's Republic of China; Li, Yin-Bi: CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; Luo, A.-Li: CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, Beijing 100049, People's Republic of China; Zuo, Fang: CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; Du, Bing: CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; Li, Shuo: CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, Beijing 100049, People's Republic of China; Ma, Xiao-Xiao: CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, Beijing 100049, People's Republic of China; Ma, Shu-Guo: CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; Lu, Hai-Ling: CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, Beijing 100049, People's Republic of China; Wu, Ke-Fei: CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; Zhong, Zhi-Hua: Center for Spatial Information Science, The University of Tokyo, Tokyo 153-8505, Japan; Hou, Wen: CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; Kong, Xiao: CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; Ye, Shuo: CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, Beijing 100049, People's Republic of China; Wang, Li-Li: School of Computer and Information, Dezhou University, Dezhou 253023, People's Republic of China; Jones, Hugh R. A.: School of Physics, Astronomy and Mathematics, University of Hertfordshire, UK",0,0,success
Resolving the Origins and Pathways of Ionizing Radiation Escape with UV Integral Field Spectroscopy,2025arXiv251224895C,,0,0,success
Cosmological dynamics and observational constraints of an interacting early scalar field coupled to radiation,2025arXiv251224918A,,0,0,success
Discovery of a galaxy associated with the HI cloud FAST J0139+4328,2025arXiv251224924M,,0,0,success
Searching for Periodicity in FRB 20240114A,2025arXiv251224936K,,1,0,success
Cosmic Himalayas in CROCODILE : Probing the Extreme Quasar Overdensities by Count-in-Cells analysis and Nearest Neighbor Distribution,2025arXiv251224966K,,0,0,success
Multi-Frequency Study of FRB20201124A with the uGMRT,2025arXiv251224978D,,0,0,success
"Distributions of wide binary stars in theory and in Gaia data: III. Orbital momenta, masses, and manifestations of MOND",2025arXiv251225002M,,0,0,success
Towards precision cosmology with Voids x CMB correlations (I): Roman-Agora mock catalogs and pipeline validation,2025arXiv251225040P,,0,0,success
Feeling Blue: Constructing a Robust SALT3 UV Template and Constraining its Redshift Dependency,2025arXiv251225064W,,0,0,success
